0;37;39;31;42;37
4;78;81;81;81;70
8;53;55;58;55;45
12;81;87;109;107;138
16;116;127;133;108;119
20;198;177;194;206;177
24;162;186;168;195;200
28;355;356;355;354;370
32;447;397;474;419;413
