0;25;14;16;22;29
4;49;44;45;43;43
8;50;43;45;49;49
12;79;69;65;78;70
16;100;93;100;96;91
20;183;169;155;138;145
24;172;184;189;176;192
28;353;327;341;338;362
32;544;508;522;533;465
